image_path,split,group,student_id,aug_type,gt_path,gt_exists,mean_field_cer,field_accuracy,page_cer,page_wer
images/augmented/th/71020005_aug1_rotate_bright.png,augmented,th,71020005,rotate_bright,ground_truth/th/Json_71020005_th.json,True,0.7921875,0.125,1.14797507788162,1.7454545454545454
images/augmented/th/71020005_aug2_noise.png,augmented,th,71020005,noise,ground_truth/th/Json_71020005_th.json,True,0.7921875,0.125,1.1433021806853583,1.7272727272727273
images/augmented/th/71020005_aug3_blur_contrast.png,augmented,th,71020005,blur_contrast,ground_truth/th/Json_71020005_th.json,True,0.80859375,0.125,1.0841121495327102,1.4
images/augmented/th/71020005_aug4_perspective.png,augmented,th,71020005,perspective,ground_truth/th/Json_71020005_th.json,True,0.79609375,0.125,1.146417445482866,1.6
images/augmented/th/71020005_aug5_jpeg_dark.png,augmented,th,71020005,jpeg_dark,ground_truth/th/Json_71020005_th.json,True,0.80859375,0.125,1.1573208722741433,1.690909090909091
images/original/th/71020009.png,original,th,71020009,none,ground_truth/th/Json_71020009_th.json,True,0.78359375,0.125,1.0891536565324569,1.1830065359477124
images/augmented/th/71020009_aug1_rotate_bright.png,augmented,th,71020009,rotate_bright,ground_truth/th/Json_71020009_th.json,True,0.78359375,0.125,1.0435497124075597,1.2320261437908497
images/augmented/th/71020009_aug2_noise.png,augmented,th,71020009,noise,ground_truth/th/Json_71020009_th.json,True,0.78359375,0.125,1.0768282662284305,1.1862745098039216
images/augmented/th/71020009_aug3_blur_contrast.png,augmented,th,71020009,blur_contrast,ground_truth/th/Json_71020009_th.json,True,0.77109375,0.125,1.0402629416598193,1.0816993464052287
images/augmented/th/71020009_aug4_perspective.png,augmented,th,71020009,perspective,ground_truth/th/Json_71020009_th.json,True,0.74609375,0.125,1.0439605587510272,1.1928104575163399
images/augmented/th/71020009_aug5_jpeg_dark.png,augmented,th,71020009,jpeg_dark,ground_truth/th/Json_71020009_th.json,True,0.77109375,0.125,1.115036976170912,1.2712418300653594
images/original/th/71020013.png,original,th,71020013,none,ground_truth/th/Json_71020013_th.json,True,0.7801470588235294,0.125,1.082819383259912,1.3376068376068375
images/augmented/th/71020013_aug1_rotate_bright.png,augmented,th,71020013,rotate_bright,ground_truth/th/Json_71020013_th.json,True,0.7676470588235295,0.125,1.0374449339207048,1.3504273504273505
images/augmented/th/71020013_aug2_noise.png,augmented,th,71020013,noise,ground_truth/th/Json_71020013_th.json,True,0.7801470588235294,0.125,1.0691629955947137,1.2692307692307692
images/augmented/th/71020013_aug3_blur_contrast.png,augmented,th,71020013,blur_contrast,ground_truth/th/Json_71020013_th.json,True,0.7801470588235294,0.125,0.9859030837004406,1.3504273504273505
images/augmented/th/71020013_aug4_perspective.png,augmented,th,71020013,perspective,ground_truth/th/Json_71020013_th.json,True,0.7801470588235294,0.125,1.066079295154185,1.2820512820512822
images/augmented/th/71020013_aug5_jpeg_dark.png,augmented,th,71020013,jpeg_dark,ground_truth/th/Json_71020013_th.json,True,0.7801470588235294,0.125,1.0911894273127754,1.3888888888888888
images/original/th/71030001.png,original,th,71030001,none,ground_truth/th/Json_71030001_th.json,True,0.7678571428571429,0.125,1.047741935483871,1.0476190476190477
images/augmented/th/71030001_aug1_rotate_bright.png,augmented,th,71030001,rotate_bright,ground_truth/th/Json_71030001_th.json,True,0.7678571428571429,0.125,1.0425806451612902,1.0272108843537415
images/augmented/th/71030001_aug2_noise.png,augmented,th,71030001,noise,ground_truth/th/Json_71030001_th.json,True,0.7678571428571429,0.125,1.0529032258064517,1.0680272108843538
images/augmented/th/71030001_aug3_blur_contrast.png,augmented,th,71030001,blur_contrast,ground_truth/th/Json_71030001_th.json,True,0.7714285714285715,0.125,1.0412903225806451,1.1088435374149659
images/augmented/th/71030001_aug4_perspective.png,augmented,th,71030001,perspective,ground_truth/th/Json_71030001_th.json,True,0.7678571428571429,0.125,1.0638709677419356,1.1700680272108843
images/augmented/th/71030001_aug5_jpeg_dark.png,augmented,th,71030001,jpeg_dark,ground_truth/th/Json_71030001_th.json,True,0.7714285714285715,0.125,1.0741935483870968,1.2448979591836735
images/original/th/71030005.png,original,th,71030005,none,ground_truth/th/Json_71030005_th.json,True,0.7839285714285714,0.125,1.1388429752066116,1.607843137254902
images/augmented/th/71030005_aug1_rotate_bright.png,augmented,th,71030005,rotate_bright,ground_truth/th/Json_71030005_th.json,True,0.7839285714285714,0.125,1.0826446280991735,1.6666666666666667
images/augmented/th/71030005_aug2_noise.png,augmented,th,71030005,noise,ground_truth/th/Json_71030005_th.json,True,0.7714285714285715,0.125,1.1603305785123967,1.6274509803921569
images/augmented/th/71030005_aug3_blur_contrast.png,augmented,th,71030005,blur_contrast,ground_truth/th/Json_71030005_th.json,True,0.7839285714285714,0.125,1.1090909090909091,1.5490196078431373
images/augmented/th/71030005_aug4_perspective.png,augmented,th,71030005,perspective,ground_truth/th/Json_71030005_th.json,True,0.7839285714285714,0.125,1.1024793388429752,1.7450980392156863
images/augmented/th/71030005_aug5_jpeg_dark.png,augmented,th,71030005,jpeg_dark,ground_truth/th/Json_71030005_th.json,True,0.7839285714285714,0.125,1.1867768595041321,1.7450980392156863
images/original/th/71030009.png,original,th,71030009,none,ground_truth/th/Json_71030009_th.json,True,0.7464285714285714,0.125,1.1229759299781181,1.306338028169014
images/augmented/th/71030009_aug1_rotate_bright.png,augmented,th,71030009,rotate_bright,ground_truth/th/Json_71030009_th.json,True,0.7464285714285714,0.125,1.0774617067833698,1.1690140845070423
images/augmented/th/71030009_aug2_noise.png,augmented,th,71030009,noise,ground_truth/th/Json_71030009_th.json,True,0.7464285714285714,0.125,1.087964989059081,1.147887323943662
images/augmented/th/71030009_aug3_blur_contrast.png,augmented,th,71030009,blur_contrast,ground_truth/th/Json_71030009_th.json,True,0.7464285714285714,0.125,0.9444201312910284,0.9753521126760564
images/augmented/th/71030009_aug4_perspective.png,augmented,th,71030009,perspective,ground_truth/th/Json_71030009_th.json,True,0.7464285714285714,0.125,1.049015317286652,1.1126760563380282
images/augmented/th/71030009_aug5_jpeg_dark.png,augmented,th,71030009,jpeg_dark,ground_truth/th/Json_71030009_th.json,True,0.7464285714285714,0.125,1.1238512035010941,1.341549295774648
images/original/th/71030013.png,original,th,71030013,none,ground_truth/th/Json_71030013_th.json,True,0.7648648648648648,0.125,1.052734375,1.0616438356164384
images/augmented/th/71030013_aug1_rotate_bright.png,augmented,th,71030013,rotate_bright,ground_truth/th/Json_71030013_th.json,True,0.7682432432432433,0.125,1.0384114583333333,1.2534246575342465
images/augmented/th/71030013_aug2_noise.png,augmented,th,71030013,noise,ground_truth/th/Json_71030013_th.json,True,0.7682432432432433,0.125,1.080078125,1.2465753424657535
images/augmented/th/71030013_aug3_blur_contrast.png,augmented,th,71030013,blur_contrast,ground_truth/th/Json_71030013_th.json,True,0.8091216216216216,0.125,0.9680989583333334,1.8287671232876712
images/augmented/th/71030013_aug4_perspective.png,augmented,th,71030013,perspective,ground_truth/th/Json_71030013_th.json,True,0.7773648648648648,0.125,1.0299479166666667,1.1164383561643836
images/augmented/th/71030013_aug5_jpeg_dark.png,augmented,th,71030013,jpeg_dark,ground_truth/th/Json_71030013_th.json,True,0.7682432432432433,0.125,1.0807291666666667,1.2876712328767124
images/original/th/72100002.png,original,th,72100002,none,ground_truth/th/Json_72100002_en.json,True,0.1375,0.75,0.5075528700906344,2.5762711864406778
images/augmented/th/72100002_aug1_rotate_bright.png,augmented,th,72100002,rotate_bright,ground_truth/th/Json_72100002_en.json,True,0.1375,0.75,0.56797583081571,2.5762711864406778
images/augmented/th/72100002_aug2_noise.png,augmented,th,72100002,noise,ground_truth/th/Json_72100002_en.json,True,0.1375,0.75,0.5090634441087614,2.542372881355932
images/augmented/th/72100002_aug3_blur_contrast.png,augmented,th,72100002,blur_contrast,ground_truth/th/Json_72100002_en.json,True,0.1375,0.75,0.49244712990936557,2.440677966101695
images/augmented/th/72100002_aug4_perspective.png,augmented,th,72100002,perspective,ground_truth/th/Json_72100002_en.json,True,0.1375,0.75,0.5120845921450151,2.406779661016949
images/augmented/th/72100002_aug5_jpeg_dark.png,augmented,th,72100002,jpeg_dark,ground_truth/th/Json_72100002_en.json,True,0.1375,0.75,0.5181268882175226,2.559322033898305
images/original/th/72100006.png,original,th,72100006,none,ground_truth/th/Json_72100006_en.json,True,0.1375,0.75,0.5637931034482758,2.7254901960784315
images/augmented/th/72100006_aug1_rotate_bright.png,augmented,th,72100006,rotate_bright,ground_truth/th/Json_72100006_en.json,True,0.1375,0.75,0.55,2.7058823529411766
images/augmented/th/72100006_aug2_noise.png,augmented,th,72100006,noise,ground_truth/th/Json_72100006_en.json,True,0.1375,0.75,0.4879310344827586,2.4901960784313726
images/augmented/th/72100006_aug3_blur_contrast.png,augmented,th,72100006,blur_contrast,ground_truth/th/Json_72100006_en.json,True,0.1375,0.75,0.5517241379310345,2.549019607843137
images/augmented/th/72100006_aug4_perspective.png,augmented,th,72100006,perspective,ground_truth/th/Json_72100006_en.json,True,0.1375,0.75,0.5620689655172414,2.627450980392157
images/augmented/th/72100006_aug5_jpeg_dark.png,augmented,th,72100006,jpeg_dark,ground_truth/th/Json_72100006_en.json,True,0.1375,0.75,0.4862068965517241,2.411764705882353
images/original/th/72100009.png,original,th,72100009,none,ground_truth/th/Json_72100009_en.json,True,0.1375,0.75,0.7257510729613734,1.5583941605839415
images/augmented/th/72100009_aug1_rotate_bright.png,augmented,th,72100009,rotate_bright,ground_truth/th/Json_72100009_en.json,True,0.1375,0.75,0.7167381974248928,1.4744525547445255
